,x0,x1,CarMake,DayOfWeek,x36,Amount,Percent,x46,Month,x84,Continent,x94
0,0.196062599,3.683995405,Tesla,Thu,-4.664154248,$124.72 ,-0.01%,14.36055481,Jun,-11.07276963,Asia,0.023357214
1,23.15519683,-9.226725445,Toyota,Thu,5.220241585,"$1,273.04 ",-0.01%,0.328323663,Jul,4.601376315,Asia,1.349388658
2,-13.96961801,-0.343978328,BMW,Wed,-0.061423727,"($1,651.19)",0.00%,3.824881643,Aug,17.35174599,Asia,2.149993382
3,49.72248051,-1.500789165,Toyota,Wed,1.908461175,$896.05 ,0.01%,-6.201024052,Aug,6.084073132,Asia,-3.052037378
4,-13.49440335,7.445214524,Honda,Wed,0.074133107,"($1,710.27)",0.01%,-12.54733844,May,10.03578341,Asia,-0.100660049
5,-52.92867811,20.31869804,Toyota,Thu,3.970205327,($634.94),0.01%,3.714089168,Jul,5.796238802,Asia,-2.982810046
6,-5.095166436,10.80407171,BMW,Thu,3.879950089,$272.90 ,-0.01%,-1.694294191,Jun,8.353068891,Asia,-0.94872565
7,5.498619791,-9.66480679,Ford,Wed,1.576982643,"($1,659.69)",-0.01%,-1.971680438,Jun,-10.42757236,Asia,0.849058459
8,-77.50348232,15.45962126,Volkswagon,Thu,1.976970901,"($1,061.87)",0.00%,-8.424532339,Jun,3.34039849,America,-1.342460239
9,43.21453222,-25.64789357,Honda,Thu,-2.755701818,$526.37 ,0.00%,-7.966714147,Jul,-2.655538457,Asia,-0.290636063
10,1.044268634,30.32879518,Toyota,Thu,-1.56574697,($903.23),0.01%,0.062612184,Jul,-0.850401662,Asia,0.250883695
11,31.34524374,-8.61312366,BMW,Thu,2.484965033,$326.63 ,-0.01%,-0.847241114,Aug,7.081839187,Asia,-0.191421741
12,-4.4054704,22.13876435,Toyota,Thu,1.239642115,"($1,043.81)",0.00%,-0.489578499,May,-4.483317682,Asia,0.818361289
13,62.659219,-22.8952796,BMW,Thu,-1.903582439,"$1,508.92 ",-0.01%,-2.661445625,Aug,7.929698282,Asia,-1.177427192
14,-30.37970906,20.33872307,Volkswagon,Tue,1.455611031,($754.73),0.02%,-0.159955859,Apr,-10.65126354,Asia,-0.243557748
15,59.27594792,-25.17567993,Volkswagon,Thu,-6.722702084,($142.40),0.00%,-9.918532014,sep,7.09152088,Asia,-0.615133842
16,-40.44719262,35.94340858,Volkswagon,Wed,-3.255760047,"($1,027.17)",0.01%,-0.580064778,Jun,-4.823272748,America,-0.665351944
17,30.08760507,-20.26515886,Chrystler,Thu,-1.136890319,$344.20 ,0.00%,1.082240839,Jul,-12.43109056,Asia,0.529056559
18,16.96362369,-8.940815379,Volkswagon,Thu,4.703882683,$708.43 ,0.01%,-1.14411368,Aug,-5.24412648,Asia,-0.39257318
19,-21.18226911,-24.98756199,Volkswagon,Thu,4.090718812,$344.59 ,0.01%,2.396398871,May,6.093067143,Asia,-1.143884632
20,7.91847987,-9.501854922,Toyota,Wed,-1.229464321,$673.54 ,0.00%,2.985518054,Jul,0.346221078,America,0.769412067
21,-4.79282816,-12.42872212,Tesla,Thu,-3.466812048,($769.48),0.01%,8.040015648,Aug,6.849074755,Asia,-0.204877956
22,7.524884633,-12.46012171,BMW,Thu,1.29882742,($257.74),0.01%,4.04702726,Jul,5.388417388,Asia,-0.192277024
23,-2.141176212,-1.459258199,BMW,Thu,0.463844956,$61.11 ,-0.01%,8.620393368,sep,0.333420548,Asia,-0.889751728
24,-8.490736259,-12.87535951,Volkswagon,Wed,7.039735935,$58.33 ,-0.01%,1.828086612,Aug,-7.05005995,Asia,1.576460667
25,-10.21243186,-6.989711836,Volkswagon,Wed,-1.251657812,"($1,032.54)",-0.01%,-6.396589506,Jul,5.034876349,Asia,0.259198008
26,25.94363378,-14.24507187,Honda,Wed,0.230038282,$942.30 ,-0.01%,-1.720409009,Jul,-1.106914924,Asia,0.600078213
27,37.20946188,-5.121440262,Toyota,Thu,0.085625478,$672.06 ,-0.01%,0.561548983,sep,-7.421745479,Asia,0.510473489
28,-1.082062517,-4.260334057,Honda,Thu,4.540481792,($386.49),0.01%,-10.95332485,sep,5.26816811,Euorpe,1.465531426
29,39.60366628,9.261536696,Toyota,Wed,-3.405584618,($334.91),0.00%,-0.634377148,Aug,3.288145029,Asia,-0.893985628
30,48.41431999,-12.5802953,Toyota,Thu,-0.55020665,($375.25),0.00%,-1.055898823,sep,10.70497576,Asia,1.986022245
31,15.74651291,-44.27192522,Honda,Thu,1.166392607,$304.93 ,0.00%,4.341611439,Jul,-12.44697848,Asia,-0.637037986
32,-23.74943693,-14.57771863,Volkswagon,Wed,1.115809676,"$1,218.54 ",0.01%,-2.783677217,Jul,-6.393697761,Asia,-0.784997619
33,61.7139536,-24.57447803,Toyota,Wed,-0.849818279,"$1,418.15 ",-0.02%,-2.496280654,Oct,-1.545166621,Asia,-1.02206262
34,-72.97768179,9.493978455,BMW,Wed,7.807362034,($781.28),0.01%,1.921031532,May,-3.456002936,Asia,0.541244555
35,23.8032757,19.18744304,Honda,Wed,1.992278125,"($1,173.34)",0.00%,-5.198006378,Jul,-8.102569591,Asia,-0.551383672
36,-11.4368103,-2.764214062,BMW,Wed,5.800514278,($998.68),0.02%,2.9240411,Apr,9.319188156,Asia,-0.894757151
37,12.53771057,-17.14926705,Honda,Thu,9.6968472,"($1,636.38)",0.01%,-3.062900423,Apr,4.788414501,Asia,-0.067280158
38,-14.2519925,2.107395816,Honda,Thu,0.244724025,$600.99 ,-0.01%,0.514120065,Jul,-16.84381343,Asia,1.343004529
